,contract,direction,order,symbol
0,traded,HOLD,not_applicable,A
1,traded,HOLD,not_applicable,AAL
2,traded,HOLD,not_applicable,AAP
3,traded,HOLD,not_applicable,AAPL
4,traded,HOLD,not_applicable,ABB
5,traded,HOLD,not_applicable,ABBV
6,traded,HOLD,not_applicable,ABC
7,traded,HOLD,not_applicable,ABEV
8,traded,HOLD,not_applicable,ABMD
9,traded,HOLD,not_applicable,ABT
10,traded,HOLD,not_applicable,ACAD
11,traded,HOLD,not_applicable,ACC
12,traded,HOLD,not_applicable,ACGL
13,traded,HOLD,not_applicable,ACGLO
14,traded,HOLD,not_applicable,ACGLP
15,traded,HOLD,not_applicable,ACH
16,traded,HOLD,not_applicable,ACM
17,traded,HOLD,not_applicable,ACN
18,traded,HOLD,not_applicable,ADBE
19,traded,HOLD,not_applicable,ADI
20,traded,HOLD,not_applicable,ADM
21,traded,HOLD,not_applicable,ADP
22,traded,HOLD,not_applicable,ADSK
23,traded,HOLD,not_applicable,AEE
24,traded,HOLD,not_applicable,AEG
25,traded,HOLD,not_applicable,AEM
26,traded,HOLD,not_applicable,AEP
27,traded,HOLD,not_applicable,AER
28,traded,HOLD,not_applicable,AES
29,traded,HOLD,not_applicable,AFG
30,traded,HOLD,not_applicable,AFL
31,traded,HOLD,not_applicable,AGN
32,traded,HOLD,not_applicable,AGNC
33,traded,HOLD,not_applicable,AGNCM
34,traded,HOLD,not_applicable,AGNCN
35,traded,HOLD,not_applicable,AGR
36,traded,HOLD,not_applicable,AIG
37,traded,HOLD,not_applicable,AIV
38,traded,HOLD,not_applicable,AIZ
39,traded,HOLD,not_applicable,AIZP
40,traded,HOLD,not_applicable,AJG
41,traded,HOLD,not_applicable,AKAM
42,traded,HOLD,not_applicable,ALB
43,traded,HOLD,not_applicable,ALC
44,traded,HOLD,not_applicable,ALGN
45,traded,HOLD,not_applicable,ALK
46,traded,HOLD,not_applicable,ALL
47,traded,HOLD,not_applicable,ALLE
48,traded,HOLD,not_applicable,ALLY
49,traded,HOLD,not_applicable,ALNY
50,traded,HOLD,not_applicable,ALV
51,traded,HOLD,not_applicable,ALXN
52,traded,HOLD,not_applicable,AMAT
53,traded,HOLD,not_applicable,AMCR
54,traded,HOLD,not_applicable,AMD
55,traded,HOLD,not_applicable,AME
56,traded,HOLD,not_applicable,AMED
57,traded,HOLD,not_applicable,AMGN
58,traded,HOLD,not_applicable,AMH
59,traded,HOLD,not_applicable,AMP
60,traded,HOLD,not_applicable,AMRN
61,traded,HOLD,not_applicable,AMT
62,traded,HOLD,not_applicable,AMTD
63,traded,HOLD,not_applicable,AMX
64,traded,HOLD,not_applicable,AMZN
65,traded,HOLD,not_applicable,ANET
66,traded,HOLD,not_applicable,ANSS
67,traded,HOLD,not_applicable,ANTM
68,traded,HOLD,not_applicable,AON
69,traded,HOLD,not_applicable,AOS
70,traded,HOLD,not_applicable,APA
71,traded,HOLD,not_applicable,APD
72,traded,HOLD,not_applicable,APH
73,traded,HOLD,not_applicable,APO
74,traded,HOLD,not_applicable,APTV
75,traded,HOLD,not_applicable,AQN
76,traded,HOLD,not_applicable,ARCC
77,traded,HOLD,not_applicable,ARE
78,traded,HOLD,not_applicable,ARES
79,traded,HOLD,not_applicable,ARGX
80,traded,HOLD,not_applicable,ARMK
81,traded,HOLD,not_applicable,ARNC
82,traded,HOLD,not_applicable,ARW
83,traded,HOLD,not_applicable,ASML
84,traded,HOLD,not_applicable,ASND
85,traded,HOLD,not_applicable,ASX
86,traded,HOLD,not_applicable,ATH
87,traded,HOLD,not_applicable,ATHM
88,traded,HOLD,not_applicable,ATO
89,traded,HOLD,not_applicable,ATR
90,traded,HOLD,not_applicable,ATUS
91,traded,HOLD,not_applicable,ATVI
92,traded,HOLD,not_applicable,AU
93,traded,HOLD,not_applicable,AVB
94,traded,HOLD,not_applicable,AVGO
95,traded,HOLD,not_applicable,AVLR
96,traded,HOLD,not_applicable,AVTR
97,traded,HOLD,not_applicable,AVY
98,traded,HOLD,not_applicable,AWK
99,traded,HOLD,not_applicable,AXP
100,traded,HOLD,not_applicable,AXTA
101,traded,HOLD,not_applicable,AYX
102,traded,HOLD,not_applicable,AZN
103,traded,HOLD,not_applicable,AZO
104,traded,HOLD,not_applicable,AZPN
105,traded,HOLD,not_applicable,BA
106,traded,HOLD,not_applicable,BABA
107,traded,HOLD,not_applicable,BAC
108,traded,HOLD,not_applicable,BAH
109,traded,HOLD,not_applicable,BAM
110,traded,HOLD,not_applicable,BAP
111,traded,HOLD,not_applicable,BATRA
112,traded,HOLD,not_applicable,BAX
113,traded,HOLD,not_applicable,BBD
114,traded,HOLD,not_applicable,BBDO
115,traded,HOLD,not_applicable,BBL
116,traded,HOLD,not_applicable,BBVA
117,traded,HOLD,not_applicable,BBY
118,traded,HOLD,not_applicable,BCE
119,traded,HOLD,not_applicable,BCH
120,traded,HOLD,not_applicable,BCS
121,traded,HOLD,not_applicable,BDX
122,traded,HOLD,not_applicable,BEN
123,traded,HOLD,not_applicable,BEP
124,traded,HOLD,not_applicable,BFAM
125,traded,HOLD,not_applicable,BG
126,traded,HOLD,not_applicable,BGNE
127,traded,HOLD,not_applicable,BHC
128,traded,HOLD,not_applicable,BHP
129,traded,HOLD,not_applicable,BIDU
130,traded,HOLD,not_applicable,BIIB
131,traded,HOLD,not_applicable,BILI
132,traded,HOLD,not_applicable,BIO
133,traded,HOLD,not_applicable,BIP
134,traded,HOLD,not_applicable,BK
135,traded,HOLD,not_applicable,BKI
136,traded,HOLD,not_applicable,BKNG
137,traded,HOLD,not_applicable,BKR
138,traded,HOLD,not_applicable,BLK
139,traded,HOLD,not_applicable,BLL
140,traded,HOLD,not_applicable,BMO
141,traded,HOLD,not_applicable,BMRN
142,traded,HOLD,not_applicable,BMY
143,traded,HOLD,not_applicable,BNS
144,traded,HOLD,not_applicable,BNTX
145,traded,HOLD,not_applicable,BP
146,traded,HOLD,not_applicable,BPY
147,traded,HOLD,not_applicable,BR
148,traded,HOLD,not_applicable,BRKR
149,traded,HOLD,not_applicable,BRO
150,traded,HOLD,not_applicable,BSAC
151,traded,HOLD,not_applicable,BSBR
152,traded,HOLD,not_applicable,BSX
153,traded,HOLD,not_applicable,BTI
154,traded,HOLD,not_applicable,BUD
155,traded,HOLD,not_applicable,BURL
156,traded,HOLD,not_applicable,BWA
157,traded,HOLD,not_applicable,BWXT
158,traded,HOLD,not_applicable,BX
159,traded,HOLD,not_applicable,BXP
160,traded,HOLD,not_applicable,BYND
161,traded,HOLD,not_applicable,C
162,traded,HOLD,not_applicable,CABO
163,traded,HOLD,not_applicable,CACC
164,traded,HOLD,not_applicable,CACI
165,traded,HOLD,not_applicable,CAE
166,traded,HOLD,not_applicable,CAG
167,traded,HOLD,not_applicable,CAH
168,traded,HOLD,not_applicable,CAJ
169,traded,HOLD,not_applicable,CASY
170,traded,HOLD,not_applicable,CAT
171,traded,HOLD,not_applicable,CB
172,traded,HOLD,not_applicable,CBOE
173,traded,HOLD,not_applicable,CBRE
174,traded,HOLD,not_applicable,CBSH
175,traded,HOLD,not_applicable,CCC
176,traded,HOLD,not_applicable,CCEP
177,traded,HOLD,not_applicable,CCI
178,traded,HOLD,not_applicable,CCK
179,traded,HOLD,not_applicable,CCL
180,traded,HOLD,not_applicable,CDAY
181,traded,HOLD,not_applicable,CDK
182,traded,HOLD,not_applicable,CDNS
183,traded,HOLD,not_applicable,CDW
184,traded,HOLD,not_applicable,CE
185,traded,HOLD,not_applicable,CEA
186,traded,HOLD,not_applicable,CEO
187,traded,HOLD,not_applicable,CERN
188,traded,HOLD,not_applicable,CF
189,traded,HOLD,not_applicable,CFG
190,traded,HOLD,not_applicable,CFXA
191,traded,HOLD,not_applicable,CG
192,traded,HOLD,not_applicable,CGC
193,traded,HOLD,not_applicable,CGNX
194,traded,HOLD,not_applicable,CHA
195,traded,HOLD,not_applicable,CHD
196,traded,HOLD,not_applicable,CHDN
197,traded,HOLD,not_applicable,CHE
198,traded,HOLD,not_applicable,CHKP
199,traded,HOLD,not_applicable,CHL
200,traded,HOLD,not_applicable,CHRW
201,traded,HOLD,not_applicable,CHT
202,traded,HOLD,not_applicable,CHTR
203,traded,HOLD,not_applicable,CHU
204,traded,HOLD,not_applicable,CHWY
205,traded,HOLD,not_applicable,CI
206,traded,HOLD,not_applicable,CIB
207,traded,HOLD,not_applicable,CIEN
208,traded,HOLD,not_applicable,CINF
209,traded,HOLD,not_applicable,CL
210,traded,HOLD,not_applicable,CLR
211,traded,HOLD,not_applicable,CLX
212,traded,HOLD,not_applicable,CM
213,traded,HOLD,not_applicable,CMA
214,traded,HOLD,not_applicable,CMCSA
215,traded,HOLD,not_applicable,CME
216,traded,HOLD,not_applicable,CMG
217,traded,HOLD,not_applicable,CMI
218,traded,HOLD,not_applicable,CMS
219,traded,HOLD,not_applicable,CNA
220,traded,HOLD,not_applicable,CNC
221,traded,HOLD,not_applicable,CNHI
222,traded,HOLD,not_applicable,CNI
223,traded,HOLD,not_applicable,CNP
224,traded,HOLD,not_applicable,CNQ
225,traded,HOLD,not_applicable,COF
226,traded,HOLD,not_applicable,COLD
227,traded,HOLD,not_applicable,CONE
228,traded,HOLD,not_applicable,COO
229,traded,HOLD,not_applicable,COP
230,traded,HOLD,not_applicable,COST
231,traded,HOLD,not_applicable,COTY
232,traded,HOLD,not_applicable,COUP
233,traded,HOLD,not_applicable,CP
234,traded,HOLD,not_applicable,CPB
235,traded,HOLD,not_applicable,CPRT
236,traded,HOLD,not_applicable,CPT
237,traded,HOLD,not_applicable,CQP
238,traded,HOLD,not_applicable,CRH
239,traded,HOLD,not_applicable,CRL
240,traded,HOLD,not_applicable,CRM
241,traded,HOLD,not_applicable,CRWD
242,traded,HOLD,not_applicable,CS
243,traded,HOLD,not_applicable,CSCO
244,traded,HOLD,not_applicable,CSGP
245,traded,HOLD,not_applicable,CSL
246,traded,HOLD,not_applicable,CSX
247,traded,HOLD,not_applicable,CTAS
248,traded,HOLD,not_applicable,CTL
249,traded,HOLD,not_applicable,CTLT
250,traded,HOLD,not_applicable,CTSH
251,traded,HOLD,not_applicable,CTVA
252,traded,HOLD,not_applicable,CTXS
253,traded,HOLD,not_applicable,CUBE
254,traded,HOLD,not_applicable,CUK
255,traded,HOLD,not_applicable,CVE
256,traded,HOLD,not_applicable,CVNA
257,traded,HOLD,not_applicable,CVS
258,traded,HOLD,not_applicable,CVX
259,traded,HOLD,not_applicable,CW
260,traded,HOLD,not_applicable,CXO
261,traded,HOLD,not_applicable,CY
262,traded,HOLD,not_applicable,CZR
263,traded,HOLD,not_applicable,D
264,traded,HOLD,not_applicable,DAL
265,traded,HOLD,not_applicable,DB
266,traded,HOLD,not_applicable,DBX
267,traded,HOLD,not_applicable,DCI
268,traded,HOLD,not_applicable,DCUE
269,traded,HOLD,not_applicable,DD
270,traded,HOLD,not_applicable,DDOG
271,traded,HOLD,not_applicable,DE
272,traded,HOLD,not_applicable,DEI
273,traded,HOLD,not_applicable,DELL
274,traded,HOLD,not_applicable,DEO
275,traded,HOLD,not_applicable,DFS
276,traded,HOLD,not_applicable,DG
277,traded,HOLD,not_applicable,DGX
278,traded,HOLD,not_applicable,DHI
279,traded,HOLD,not_applicable,DHR
280,traded,HOLD,not_applicable,DIS
281,traded,HOLD,not_applicable,DISCA
282,traded,HOLD,not_applicable,DISH
283,traded,HOLD,not_applicable,DLB
284,traded,HOLD,not_applicable,DLR
285,traded,HOLD,not_applicable,DLTR
286,traded,HOLD,not_applicable,DNKN
287,traded,HOLD,not_applicable,DOCU
288,traded,HOLD,not_applicable,DOV
289,traded,HOLD,not_applicable,DOW
290,traded,HOLD,not_applicable,DOX
291,traded,HOLD,not_applicable,DPZ
292,traded,HOLD,not_applicable,DRE
293,traded,HOLD,not_applicable,DRI
294,traded,HOLD,not_applicable,DT
295,traded,HOLD,not_applicable,DTE
296,traded,HOLD,not_applicable,DUK
297,traded,HOLD,not_applicable,DVA
298,traded,HOLD,not_applicable,DVN
299,traded,HOLD,not_applicable,DXC
300,traded,HOLD,not_applicable,DXCM
301,traded,HOLD,not_applicable,E
302,traded,HOLD,not_applicable,EA
303,traded,HOLD,not_applicable,EBAY
304,traded,HOLD,not_applicable,EBAYL
305,traded,HOLD,not_applicable,EBR
306,traded,HOLD,not_applicable,EC
307,traded,HOLD,not_applicable,ECL
308,traded,HOLD,not_applicable,ED
309,traded,HOLD,not_applicable,EDU
310,traded,HOLD,not_applicable,EEFT
311,traded,HOLD,not_applicable,EFX
312,traded,HOLD,not_applicable,EHC
313,traded,HOLD,not_applicable,EIX
314,traded,HOLD,not_applicable,EL
315,traded,HOLD,not_applicable,ELAN
316,traded,HOLD,not_applicable,ELS
317,traded,HOLD,not_applicable,EMN
318,traded,HOLD,not_applicable,EMR
319,traded,HOLD,not_applicable,ENB
320,traded,HOLD,not_applicable,ENIA
321,traded,HOLD,not_applicable,ENIC
322,traded,HOLD,not_applicable,ENTG
323,traded,HOLD,not_applicable,EOG
324,traded,HOLD,not_applicable,EPAM
325,traded,HOLD,not_applicable,EPD
326,traded,HOLD,not_applicable,EQH
327,traded,HOLD,not_applicable,EQIX
328,traded,HOLD,not_applicable,EQNR
329,traded,HOLD,not_applicable,EQR
330,traded,HOLD,not_applicable,ERIC
331,traded,HOLD,not_applicable,ERIE
332,traded,HOLD,not_applicable,ES
333,traded,HOLD,not_applicable,ESLT
334,traded,HOLD,not_applicable,ESS
335,traded,HOLD,not_applicable,ET
336,traded,HOLD,not_applicable,ETFC
337,traded,HOLD,not_applicable,ETN
338,traded,HOLD,not_applicable,ETR
339,traded,HOLD,not_applicable,EVRG
340,traded,HOLD,not_applicable,EW
341,traded,HOLD,not_applicable,EWBC
342,traded,HOLD,not_applicable,EXAS
343,traded,HOLD,not_applicable,EXC
344,traded,HOLD,not_applicable,EXPD
345,traded,HOLD,not_applicable,EXPE
346,traded,HOLD,not_applicable,EXR
347,traded,HOLD,not_applicable,F
348,traded,HOLD,not_applicable,FAF
349,traded,HOLD,not_applicable,FANG
350,traded,HOLD,not_applicable,FAST
351,traded,HOLD,not_applicable,FB
352,traded,HOLD,not_applicable,FBHS
353,traded,HOLD,not_applicable,FCAU
354,traded,HOLD,not_applicable,FCX
355,traded,HOLD,not_applicable,FDS
356,traded,HOLD,not_applicable,FDX
357,traded,HOLD,not_applicable,FE
358,traded,HOLD,not_applicable,FFIV
359,traded,HOLD,not_applicable,FICO
360,traded,HOLD,not_applicable,FIS
361,traded,HOLD,not_applicable,FISV
362,traded,HOLD,not_applicable,FITB
363,traded,HOLD,not_applicable,FIVE
364,traded,HOLD,not_applicable,FLEX
365,traded,HOLD,not_applicable,FLIR
366,traded,HOLD,not_applicable,FLT
367,traded,HOLD,not_applicable,FMC
368,traded,HOLD,not_applicable,FMS
369,traded,HOLD,not_applicable,FMX
370,traded,HOLD,not_applicable,FNF
