,symbol
0,GDI
1,MLNX
2,WWD
3,KSU
4,TDG
5,BKNG
6,CY
7,SWP
8,RTN
9,MKTX
10,UTX
11,SBGL
12,AGN
13,IFF
14,WST
15,MSG
16,WHR
17,S
18,CABO
19,CMG
20,WBC
21,NVR
22,ZAYO
23,INXN
24,PXD
25,TSG
