,contract,direction,order,symbol
442,"Stock(symbol='LPLA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=450, clientId=10, action='SELL', account='DU2280941')",LPLA
443,"Stock(symbol='LSXMA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=451, clientId=10, action='SELL', account='DU2280941')",LSXMA
444,"Stock(symbol='LSXMK', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=452, clientId=10, action='SELL', account='DU2280941')",LSXMK
445,"Stock(symbol='LULU', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=453, clientId=10, action='BUY', account='DU2280941')",LULU
446,"Stock(symbol='LUV', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=454, clientId=10, permId=666916109, action='BUY', account='DU2280941')",LUV
447,"Stock(symbol='LVS', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=455, clientId=10, permId=666916110, action='BUY', account='DU2280941')",LVS
448,"Stock(symbol='LW', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=456, clientId=10, permId=666916111, action='BUY', account='DU2280941')",LW
449,"Stock(symbol='LYB', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=457, clientId=10, permId=666916113, action='BUY', account='DU2280941')",LYB
450,"Stock(symbol='LYFT', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=458, clientId=10, action='BUY', account='DU2280941')",LYFT
451,"Stock(symbol='LYG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=459, clientId=10, permId=666916114, action='BUY', account='DU2280941')",LYG
452,"Stock(symbol='LYV', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=460, clientId=10, permId=666916116, action='BUY', account='DU2280941')",LYV
453,"Stock(symbol='MAA', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=461, clientId=10, permId=666916118, action='SELL', account='DU2280941')",MAA
454,"Stock(symbol='MAR', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=462, clientId=10, action='BUY', account='DU2280941')",MAR
455,"Stock(symbol='MAS', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=463, clientId=10, permId=666916119, action='SELL', account='DU2280941')",MAS
456,"Stock(symbol='MASI', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=464, clientId=10, action='BUY', account='DU2280941')",MASI
457,"Stock(symbol='MBT', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=465, clientId=10, permId=666916121, action='BUY', account='DU2280941')",MBT
458,"Stock(symbol='MCHP', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=466, clientId=10, action='SELL', account='DU2280941')",MCHP
459,"Stock(symbol='MCK', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=467, clientId=10, permId=666916123, action='BUY', account='DU2280941')",MCK
460,"Stock(symbol='MCO', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=468, clientId=10, permId=666916124, action='BUY', account='DU2280941')",MCO
461,"Stock(symbol='MDB', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=469, clientId=10, action='BUY', account='DU2280941')",MDB
462,"Stock(symbol='MDLZ', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=470, clientId=10, action='SELL', account='DU2280941')",MDLZ
463,"Stock(symbol='MDU', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=471, clientId=10, permId=666916127, action='BUY', account='DU2280941')",MDU
464,"Stock(symbol='MELI', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=472, clientId=10, action='BUY', account='DU2280941')",MELI
465,"Stock(symbol='MET', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=473, clientId=10, permId=666916128, action='BUY', account='DU2280941')",MET
466,"Stock(symbol='MFC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=474, clientId=10, permId=666916129, action='BUY', account='DU2280941')",MFC
467,"Stock(symbol='MFG', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=475, clientId=10, permId=666916130, action='BUY', account='DU2280941')",MFG
468,"Stock(symbol='MGA', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=476, clientId=10, permId=666916131, action='SELL', account='DU2280941')",MGA
469,"Stock(symbol='MGM', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=477, clientId=10, permId=666916132, action='SELL', account='DU2280941')",MGM
470,"Stock(symbol='MGP', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=478, clientId=10, permId=666916133, action='BUY', account='DU2280941')",MGP
471,"Stock(symbol='MHK', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=479, clientId=10, permId=666916134, action='BUY', account='DU2280941')",MHK
472,"Stock(symbol='MIDD', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=480, clientId=10, action='BUY', account='DU2280941')",MIDD
473,"Stock(symbol='MKC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=481, clientId=10, permId=666916136, action='BUY', account='DU2280941')",MKC
474,"Stock(symbol='MKTX', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=482, clientId=10, action='BUY', account='DU2280941')",MKTX
475,"Stock(symbol='MLCO', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=483, clientId=10, action='BUY', account='DU2280941')",MLCO
476,"Stock(symbol='MMC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=484, clientId=10, permId=666916138, action='BUY', account='DU2280941')",MMC
477,"Stock(symbol='MMM', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=485, clientId=10, permId=666916139, action='BUY', account='DU2280941')",MMM
478,"Stock(symbol='MMP', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=486, clientId=10, permId=666916141, action='BUY', account='DU2280941')",MMP
479,"Stock(symbol='MNST', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=487, clientId=10, action='SELL', account='DU2280941')",MNST
480,"Stock(symbol='MO', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=488, clientId=10, permId=666916142, action='SELL', account='DU2280941')",MO
481,"Stock(symbol='MOMO', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=489, clientId=10, action='SELL', account='DU2280941')",MOMO
482,"Stock(symbol='MORN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=490, clientId=10, action='BUY', account='DU2280941')",MORN
483,"Stock(symbol='MOS', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=491, clientId=10, permId=666916145, action='BUY', account='DU2280941')",MOS
484,"Stock(symbol='MPC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=492, clientId=10, permId=666916146, action='BUY', account='DU2280941')",MPC
485,"Stock(symbol='MPLX', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=493, clientId=10, permId=666916147, action='BUY', account='DU2280941')",MPLX
486,"Stock(symbol='MPW', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=494, clientId=10, permId=666916148, action='SELL', account='DU2280941')",MPW
487,"Stock(symbol='MPWR', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=495, clientId=10, action='BUY', account='DU2280941')",MPWR
488,"Stock(symbol='MRNA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=496, clientId=10, action='BUY', account='DU2280941')",MRNA
489,"Stock(symbol='MRO', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=497, clientId=10, permId=666916149, action='BUY', account='DU2280941')",MRO
490,"Stock(symbol='MRVL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=498, clientId=10, action='BUY', account='DU2280941')",MRVL
491,"Stock(symbol='MS', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=499, clientId=10, permId=666916150, action='BUY', account='DU2280941')",MS
492,"Stock(symbol='MSCI', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=500, clientId=10, permId=666916151, action='SELL', account='DU2280941')",MSCI
493,"Stock(symbol='MSI', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=501, clientId=10, permId=666916153, action='BUY', account='DU2280941')",MSI
494,"Stock(symbol='MT', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=502, clientId=10, permId=666916154, action='BUY', account='DU2280941')",MT
495,"Stock(symbol='MTB', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=503, clientId=10, permId=666916155, action='BUY', account='DU2280941')",MTB
496,"Stock(symbol='MTN', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=504, clientId=10, permId=666916156, action='SELL', account='DU2280941')",MTN
497,"Stock(symbol='MU', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=505, clientId=10, action='BUY', account='DU2280941')",MU
498,"Stock(symbol='MXIM', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=506, clientId=10, action='BUY', account='DU2280941')",MXIM
499,"Stock(symbol='MYL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=507, clientId=10, action='SELL', account='DU2280941')",MYL
500,"Stock(symbol='NBL', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=508, clientId=10, action='BUY', account='DU2280941')",NBL
501,"Stock(symbol='NCLH', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=509, clientId=10, permId=666916158, action='BUY', account='DU2280941')",NCLH
502,"Stock(symbol='NDAQ', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=510, clientId=10, action='SELL', account='DU2280941')",NDAQ
503,"Stock(symbol='NDSN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=511, clientId=10, action='BUY', account='DU2280941')",NDSN
504,"Stock(symbol='NEM', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=512, clientId=10, permId=666916160, action='BUY', account='DU2280941')",NEM
505,"Stock(symbol='NI', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=513, clientId=10, permId=666916161, action='BUY', account='DU2280941')",NI
506,"Stock(symbol='NKE', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=514, clientId=10, permId=666916162, action='BUY', account='DU2280941')",NKE
507,"Stock(symbol='NLOK', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=515, clientId=10, action='BUY', account='DU2280941')",NLOK
508,"Stock(symbol='NLSN', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=516, clientId=10, permId=666916163, action='SELL', account='DU2280941')",NLSN
509,"Stock(symbol='NLY', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=517, clientId=10, permId=666916164, action='BUY', account='DU2280941')",NLY
