,contract,direction,order,symbol
428,"Stock(symbol='KIM', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=436, clientId=10, permId=1534984666, action='SELL', account='DU2280941')",KIM
429,"Stock(symbol='KKR', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=437, clientId=10, permId=1534984667, action='BUY', account='DU2280941')",KKR
430,"Stock(symbol='KL', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=438, clientId=10, permId=1534984668, action='SELL', account='DU2280941')",KL
431,"Stock(symbol='KLAC', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=439, clientId=10, permId=1534984794, action='BUY', account='DU2280941')",KLAC
432,"Stock(symbol='KMB', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=440, clientId=10, permId=1534984670, action='SELL', account='DU2280941')",KMB
433,"Stock(symbol='KMI', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=441, clientId=10, permId=1534984671, action='BUY', account='DU2280941')",KMI
434,"Stock(symbol='KMX', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=442, clientId=10, permId=1534984676, action='SELL', account='DU2280941')",KMX
435,"Stock(symbol='KNX', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=443, clientId=10, permId=1534984678, action='SELL', account='DU2280941')",KNX
436,"Stock(symbol='KO', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=444, clientId=10, permId=1534984679, action='SELL', account='DU2280941')",KO
437,"Stock(symbol='KR', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=445, clientId=10, permId=1534984680, action='SELL', account='DU2280941')",KR
438,"Stock(symbol='KRC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=446, clientId=10, permId=1534984681, action='BUY', account='DU2280941')",KRC
439,"Stock(symbol='KSS', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=447, clientId=10, permId=1534984682, action='SELL', account='DU2280941')",KSS
440,"Stock(symbol='KSU', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=448, clientId=10, permId=1534984803, action='SELL', account='DU2280941')",KSU
441,"Stock(symbol='L', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=449, clientId=10, permId=1534984684, action='SELL', account='DU2280941')",L
442,"Stock(symbol='LAMR', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=450, clientId=10, permId=1534984807, action='SELL', account='DU2280941')",LAMR
443,"Stock(symbol='LB', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=451, clientId=10, permId=1534984686, action='BUY', account='DU2280941')",LB
444,"Stock(symbol='LBRDA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=452, clientId=10, permId=1534984809, action='BUY', account='DU2280941')",LBRDA
445,"Stock(symbol='LBRDK', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=453, clientId=10, permId=1534984810, action='SELL', account='DU2280941')",LBRDK
446,"Stock(symbol='LBTYA', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=454, clientId=10, permId=1534984811, action='BUY', account='DU2280941')",LBTYA
447,"Stock(symbol='LBTYK', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=455, clientId=10, permId=1534984812, action='BUY', account='DU2280941')",LBTYK
448,"Stock(symbol='LEA', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=456, clientId=10, permId=1534984688, action='SELL', account='DU2280941')",LEA
449,"Stock(symbol='LEN', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=457, clientId=10, permId=1534984690, action='BUY', account='DU2280941')",LEN
450,"Stock(symbol='LEVI', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=458, clientId=10, permId=1534984691, action='BUY', account='DU2280941')",LEVI
451,"Stock(symbol='LFC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=459, clientId=10, permId=1534984693, action='BUY', account='DU2280941')",LFC
452,"Stock(symbol='LHX', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=460, clientId=10, permId=1534984694, action='SELL', account='DU2280941')",LHX
453,"Stock(symbol='LITE', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=461, clientId=10, permId=1534984819, action='SELL', account='DU2280941')",LITE
