,symbol
0,BKNG
1,WBC
2,AGN
3,TSG
4,BIDU
5,MLNX
6,ZAYO
7,MCHP
8,MASI
9,WST
10,CMG
11,CABO
12,MPWR
13,TDG
14,RE
15,NVR
16,HRC
17,CMCSA
18,GDI
19,SBGL
20,KSU
21,UTX
22,SWP
23,INXN
24,RETA
25,USFD
26,MSG
27,CY
28,S
29,RTN
