Stock,primaryExchange
LSXMA,NASDAQ
BATRA,NASDAQ
VRSK,NASDAQ
LYB,NYSE
WLTW,NASDAQ
EIX,NYSE
SLMBP,NASDAQ
DLR,NYSE
WCN,NYSE
PH,NYSE
FLT,NYSE
TLK,NYSE
AMTD,NASDAQ
CSGP,NASDAQ
ETR,NYSE
SPLK,NASDAQ
A,NYSE
MSCI,NYSE
CHU,NYSE
MCHP,NASDAQ
PPL,NYSE
WMB,NYSE
SPOT,NYSE
DXCM,NASDAQ
FTV,NYSE
HRL,NYSE
PCAR,NASDAQ
O,NYSE
DTE,NYSE
SWK,NYSE
RMD,NYSE
CMG,NYSE
BLL,NYSE
AWK,NYSE
CMI,NYSE
ADM,NYSE
MPLX,NYSE
AZO,NYSE
RCI,NYSE
SNAP,NYSE
CCEP,NYSE
TU,NYSE
ZM,NASDAQ
LBRDA,NASDAQ
NOK,NYSE
VRSN,NASDAQ
SNPS,NASDAQ
ANSS,NASDAQ
IDXX,NASDAQ
FMS,NYSE
PANW,NYSE
CPRT,NASDAQ
DFS,NYSE
CERN,NASDAQ
RCL,NYSE
NTR,NYSE
BBY,NYSE
ROK,NYSE
IX,NYSE
PXD,NYSE
AME,NYSE
APTV,NYSE
CTVA,NYSE
IBKR,NASDAQ
FOXA,NASDAQ
KR,NYSE
K,NYSE
ALXN,NASDAQ
DB,NYSE
VEEV,NYSE
WY,NYSE
XP,NASDAQ
BXP,NYSE
BKR,NYSE
AMP,NYSE
DHI,NYSE
VIV,NYSE
BIP,NYSE
MTB,NYSE
XLNX,NASDAQ
VTR,NYSE
CDNS,NASDAQ
SE,NYSE
MKC,NYSE
GLW,NYSE
TME,NYSE
EDU,NYSE
FAST,NASDAQ
SYF,NYSE
FNV,NYSE
VIAC,NASDAQ
ALGN,NASDAQ
LEN,NYSE
CBRE,NYSE
NTRS,NASDAQ
HIG,NYSE
AEE,NYSE
ARE,NYSE
ESS,NYSE
FITB,NASDAQ
DLTR,NASDAQ
MTCH,NASDAQ
DISH,NASDAQ
SNN,NYSE
LBRDK,NASDAQ
SWKS,NASDAQ
WDC,NASDAQ
FCAU,NYSE
CLX,NYSE
UAL,NASDAQ
AJG,NYSE
RYAAY,NASDAQ
PBA,NYSE
FTS,NYSE
RNG,NYSE
FTNT,NASDAQ
SGEN,NASDAQ
FRC,NYSE
QSR,NYSE
IAC,NASDAQ
IQ,NASDAQ
CDW,NASDAQ
EFX,NYSE
HAL,NYSE
ABC,NYSE
VMC,NYSE
WIT,NYSE
KEY,NYSE
CMS,NYSE
ACGL,NASDAQ
ZTO,NYSE
HPE,NYSE
LH,NYSE
APO,NYSE
CHD,NYSE
KEYS,NYSE
PEAK,NYSE
CINF,NASDAQ
NDAQ,NASDAQ
TCOM,NASDAQ
GRMN,NASDAQ
MTD,NYSE
GIB,NYSE
CFXA,NYSE
TRU,NYSE
FCX,NYSE
HES,NYSE
MKL,NYSE
ANET,NYSE
MT,NYSE
IMO,AMEX
CHKP,NASDAQ
NMR,NYSE
TFX,NYSE
CQP,AMEX
ATUS,NYSE
ODFL,NASDAQ
EXPE,NASDAQ
PAYC,NYSE
TWLO,NYSE
INVH,NYSE
CAH,NYSE
DOV,NYSE
COO,NYSE
MXIM,NASDAQ
OMC,NYSE
MAA,NYSE
IP,NYSE
ULTA,NASDAQ
